WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
30,manual-main-129423,Media-Decode-CNL-PreETM,05:38:02,05:38:02,70:55:41,"",18:35:43,00:51:42,19:27:25
30,manual-main-129423,Media-Decode-BXT-PreETM,18:35:43,18:35:43,282:24:30,"",18:35:43,00:51:42,19:27:25
30,manual-main-129422,Media-Decode-BXT-PreETM,35:03:18,35:03:18,321:57:20,"",35:03:18,00:53:28,35:56:46
30,manual-main-129422,Media-Decode-CNL-PreETM,03:31:13,03:31:13,62:06:31,"",35:03:18,00:53:28,35:56:46
29,manual-main-129396,Media-Decode-CNL-PreETM,03:21:16,03:21:17,68:47:28,"",22:46:42,00:49:23,23:36:05
29,manual-main-129396,Media-Decode-BXT-PreETM,22:46:41,22:46:42,217:47:18,"",22:46:42,00:49:23,23:36:05
29,manual-main-129394,Media-Decode-BXT-PreETM,19:18:03,19:18:03,327:09:34,"",19:18:03,00:58:16,20:16:19
29,manual-main-129394,Media-Decode-CNL-PreETM,04:13:55,04:13:55,42:39:18,"",19:18:03,00:58:16,20:16:19
29,manual-main-129393,Media-Decode-CNL-PreETM,03:32:30,03:32:30,73:58:40,"",6:18:23,00:56:43,07:15:06
29,manual-main-129393,Media-Decode-BXT-PreETM,06:18:23,06:18:23,305:11:01,"",6:18:23,00:56:43,07:15:06
29,manual-main-129353,Media-Decode-BXT-PreETM,17:05:29,17:05:29,169:29:13,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-CP-BXT-PreETM,02:22:33,02:22:33,359:58:35,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-Decode-CNL-PreETM,06:05:19,06:05:19,46:27:04,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-Encode-BXT-PreETM,31:31:56,31:31:56,406:39:37,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-Encode-CNL-PreETM,07:08:57,67:28:24,45:35:06,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-Encode-KBL-PreETM,04:02:12,04:02:12,20:12:35,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-VP-BXT-PreETM,06:55:31,06:55:31,63:14:17,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129353,Media-Encode-Pre-ETM-BXT-Android,06:17:24,06:17:24,14:18:49,3:39:24,67:33:07,01:05:02,68:38:09
29,manual-main-129349,Media-Encode-KBL-PreETM,03:07:27,03:07:27,17:11:15,"",5:58:52,01:05:56,07:04:48
29,manual-main-129349,Media-Encode-CNL-PreETM,05:55:22,05:55:22,49:25:13,"",5:58:52,01:05:56,07:04:48
29,manual-main-129349,Media-Encode-BXT-PreETM,03:23:38,03:23:38,42:45:52,"",5:58:52,01:05:56,07:04:48
29,manual-main-129327,Media-VP-BXT-PreETM,04:12:28,04:12:28,50:04:07,"",4:12:28,01:11:53,05:24:21
29,manual-main-129317,Media-VP-BXT-PreETM,04:03:48,04:03:48,43:41:43,"",4:03:48,01:05:40,05:09:28
29,manual-main-129275,Media-VP-BXT-PreETM,07:11:43,07:11:43,51:36:34,"",7:11:43,01:14:11,08:25:54
29,manual-main-129275,Media-CP-BXT-PreETM,00:15:33,00:15:33,383:58:52,"",7:11:43,01:14:11,08:25:54
29,manual-main-129129,Media-CP-BXT-PreETM,00:11:42,00:11:42,359:58:59,182:05:26,166:29:57,01:08:50,67:38:47
29,manual-main-129129,Media-Decode-BXT-PreETM,05:59:20,166:29:12,253:51:25,182:05:26,166:29:57,01:08:50,67:38:47
29,manual-main-129129,Media-Decode-CNL-PreETM,08:19:37,08:19:38,47:25:23,182:05:26,166:29:57,01:08:50,67:38:47
29,manual-main-129118,Media-VP-BXT-PreETM,13:20:04,13:20:04,68:29:36,"",13:20:04,01:14:01,14:34:05
29,manual-main-129068,Media-VP-BXT-PreETM,04:26:02,04:26:02,48:32:07,"",4:26:02,01:16:40,05:42:42
29,manual-main-129068,Media-CP-BXT-PreETM,00:21:56,00:21:56,359:58:27,"",4:26:02,01:16:40,05:42:42
29,manual-main-129063,Media-VP-BXT-PreETM,04:54:50,04:54:51,46:05:42,"",4:54:51,01:02:53,05:57:44
29,manual-main-129059,Media-Encode-Pre-ETM-BXT-Android,03:53:43,03:53:44,14:38:03,"",8:34:52,00:58:30,09:33:22
29,manual-main-129059,Media-Encode-CNL-PreETM,04:03:33,04:03:33,40:54:40,"",8:34:52,00:58:30,09:33:22
29,manual-main-129059,Media-Encode-KBL-PreETM,01:25:43,01:25:44,14:49:11,"",8:34:52,00:58:30,09:33:22
29,manual-main-129059,Media-Encode-BXT-PreETM,08:34:52,08:34:52,114:37:47,"",8:34:52,00:58:30,09:33:22
29,manual-main-129047,Media-Decode-CNL-PreETM,04:52:14,04:52:15,49:49:55,2:46:28,11:53:38,01:09:46,13:03:24
29,manual-main-129047,Media-CP-BXT-PreETM,00:13:01,00:13:01,359:58:44,2:46:28,11:53:38,01:09:46,13:03:24
29,manual-main-129047,Media-Decode-BXT-PreETM,04:46:51,11:51:55,186:42:34,2:46:28,11:53:38,01:09:46,13:03:24
29,manual-main-129007,Media-Encode-BXT-PreETM,35:16:06,35:16:07,446:56:43,"",35:16:07,01:12:42,36:28:49
29,manual-main-129007,Media-Encode-KBL-PreETM,01:12:40,01:12:40,17:55:46,"",35:16:07,01:12:42,36:28:49
29,manual-main-129007,Media-Encode-CNL-PreETM,04:32:04,04:32:04,66:54:26,"",35:16:07,01:12:42,36:28:49
29,manual-main-128971,Media-VP-BXT-PreETM,03:48:47,03:48:47,40:57:01,"",3:48:47,01:04:37,04:53:24
29,manual-main-128936,Media-VP-BXT-PreETM,07:13:04,95:16:42,67:07:09,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-VP-BXT-PreETM,07:13:04,95:16:42,67:07:09,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-CNL-PreETM,05:23:35,95:15:33,54:28:31,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-CNL-PreETM,05:23:35,95:15:33,54:28:31,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-KBL-PreETM,03:43:47,03:43:47,24:31:01,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-KBL-PreETM,03:43:47,03:43:47,24:31:01,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-BXT-PreETM,05:05:25,05:05:25,87:47:26,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Encode-BXT-PreETM,05:05:25,05:05:25,87:47:26,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Decode-CNL-PreETM,04:12:39,04:12:39,56:27:23,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Decode-CNL-PreETM,04:12:39,04:12:39,56:27:23,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Decode-BXT-PreETM,05:07:00,05:07:00,222:54:22,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-Decode-BXT-PreETM,05:07:00,05:07:00,222:54:22,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-CP-BXT-PreETM,01:36:22,01:36:22,239:38:41,0:51:05,95:19:07,01:05:03,96:24:10
29,manual-main-128936,Media-CP-BXT-PreETM,01:36:22,01:36:22,239:38:41,0:19:20,95:19:07,01:05:03,96:24:10
29,manual-main-128858,Media-Encode-BXT-PreETM,30:16:17,30:16:17,373:14:06,"",30:16:17,01:12:27,31:28:44
29,manual-main-128858,Media-Encode-KBL-PreETM,03:38:24,03:38:24,17:22:49,"",30:16:17,01:12:27,31:28:44
29,manual-main-128858,Media-Encode-CNL-PreETM,06:11:47,06:43:44,49:12:27,"",30:16:17,01:12:27,31:28:44
29,manual-main-128857,Media-Encode-CNL-PreETM,05:31:50,05:31:50,46:01:03,"",36:34:21,01:10:45,37:45:06
